id,name,popularity,explicit,artists,id_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
3iw6V4LH7yPj1ESORX9RIN,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,92,0,"'Nathan Evans', '220 KID', 'Billen Ted'","'1PKErrAhYFdfrDymGHRQRo', '4Euia7UzdRshy1DJOSMTcs', '5PoZtBo8xZKqPWlZrIDq82'",0.722,0.893,0,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,4,117.0
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,92,1,"'Travis Scott', 'HVME'","'0Y5tJX1MQlPlqiwlOH1tJY', '2o08sCWF5yyo2G4DCiT7T9'",0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,4,163.0
1XXimziG1uhM0eDNCZCrUl,Up,92,1,'Cardi B','4kYSro6naA4h99UJvo89HB',0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0,4,157.0
5YYW3yRktprLRr47WK219Y,Ella No Es Tuya - Remix,92,0,"'Rochy RD', 'Myke Towers', 'Nicki Nicole'","'4riOEaOW5hCeqomFDBk0aP', '7iK8PXO48WeuP03g8YR51W', '2UZIAOlrnyZmyzt1nuXr9y'",0.585,0.611,6,-4.132,1,0.288,0.39,0.0,0.649,0.962,97.041,4,218.0
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,91,1,'KAROL G','790FomKkXshlbRYZFtlgla',0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,4,179.0
1diS6nkxMQc3wwC4G1j0bh,We're Good,91,0,'Dua Lipa','6M2wZ9GZgrQXHCFfjv46we',0.722,0.588,6,-5.932,1,0.0544,0.0319,0.0,0.183,0.59,134.01,4,166.0
4saklk6nie3yiGePpBwUoc,Dynamite,91,0,'BTS','3Nrfpe0tUJi4K4DXYWgMUX',0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4,199.0
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),91,0,"'Joel Corry', 'MNEK'","'6DgP9otnZw5z6daOntINxp', '7uMh23xWiuR7zsNkuNcm2G'",0.734,0.874,8,-3.158,1,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4,166.0
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),91,1,"'DaBaby', 'Roddy Ricch'","'4r63FhuTkUYltbVAg5TQnk', '757aE44tKEUQEqRuT6GnEB'",0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,4,182.0
6Im9k8u9iIzKMrmV7BWtlF,34+35,91,1,'Ariana Grande','66CXWjxzNUsdJxJ2JdwvnR',0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,4,174.0
3aQem4jVGdhtg116TmJnHz,What’s Next,91,1,'Drake','3TVXtAsR1Inumwj472S9r4',0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895,4,178.0
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,91,1,'Pop Smoke','0eDvMgVFoNV3TpwtrVCoTj',0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,4,160.0
5YaskwnGDZFDRipaqzbwQx,Your Love (9PM),91,0,"'ATB', 'Topic', 'A7S'","'7jZM5w05mGhw6wTB1okhD9', '0u6GtibW46tFX7koQ6uNJZ', '5Wg2b4Mp42gicxEeDNawf7'",0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,4,150.0
2TksvaRivgAEj780DgRB73,911,91,1,'Sech','77ziqFxp5gaInVrF2lj4ht',0.795,0.655,7,-3.815,1,0.0422,0.076,1.76e-06,0.296,0.744,93.029,4,216.0
45bE4HXI0AwGZXfZtMp8JR,you broke me first,91,0,'Tate McRae','45dkTj5sMRSjrmBSBeiHym',0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4,169.0
61KpQadow081I2AsbeLcsb,deja vu,90,1,'Olivia Rodrigo','1McMsnEElThX1knmY4oliG',0.439,0.61,9,-7.236,1,0.116,0.593,1.07e-05,0.341,0.172,181.088,4,216.0
4MzXwWMhyBbmu6hOcLVD49,DÁKITI,90,1,"'Bad Bunny', 'Jhay Cortez'","'4q3ewBCX7sLwd24euuV69X', '0EFisYRi20PTADoJrifHrz'",0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,205.0
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),90,1,"'Saweetie', 'Doja Cat'","'6cK3NBO6uP7hh0oyuVELFl', '5cj0lLjcoR7YOSnhnX0Po5'",0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,4,156.0
54bFM56PmE4YLRnqpW6Tha,Therefore I Am,90,0,'Billie Eilish','6qqNVTkY8uBg9cP3Jd7DAH',0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,4,174.0
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),90,1,"'Cardi B', 'Megan Thee Stallion'","'4kYSro6naA4h99UJvo89HB', '181bsRPaVXVlUKXrxwZfHK'",0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4,188.0
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,90,0,'The Neighbourhood','77SW9BnxLY8rJ0RciFqkHh',0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,240.0
